Date,Type,Pair,Angle,Points
07/01/2022,Geo,Jup/Jup,45,15
07/01/2022,Geo,Sat/Sat,144,30
11/01/2022,Geo,Sat/Ura,36,10
11/01/2022,Helio,Sat/Ura,36,10
18/01/2022,Geo,Jup/Ura,15,15
18/01/2022,Ura,D,,25
19/01/2022,Geo,Sat/Nep,7.5,10
20/01/2022,Helio,Ven/Jup,30,10
21/01/2022,Geo,Sat/Plu,45,15
25/01/2022,Helio,Sat/Plu,45,15
29/01/2022,Geo,Jup/Nep,15,15
31/01/2022,Helio,Sat/Nep,7.5,10
02/02/2022,Geo,Nep/Nep,30,15
02/02/2022,Helio,Jup/Jup,45,15
03/02/2022,Geo,Ven/Sat,60,10
07/02/2022,Geo,Sun/Jup,120,25
07/02/2022,Helio,Jup/Plu,72,30
08/02/2022,Geo,Mer/Jup,135,20
12/02/2022,Geo,Jup/Sat,30,15
16/02/2022,Nep,Hs,,25
17/02/2022,Helio,Sat/Ura,120,25
18/02/2022,Geo,Jup/Plu,72,30
19/02/2022,Geo,Jup/Ura,7.5,10
19/02/2022,Helio,Jup/Ura,7.5,10
22/02/2022,Helio,Jup/Sat,180,30
27/02/2022,Geo,Sat/Sat,150,15
01/03/2022,Geo,Jup/Nep,22.5,10
03/03/2022,Geo,Mar/Sat,90,25
03/03/2022,Geo,Sat/Ura,30,10
09/03/2022,Geo,Ven/Jup,90,25
13/03/2022,Geo,Jup/Jup,60,15
15/03/2022,Helio,Jup/Nep,22.5,10
17/03/2022,Geo,Mer/Jup,144,35
20/03/2022,Geo,Jup/Sat,180,30
22/03/2022,Geo,Mar/Jup,120,25
22/03/2022,Geo,Jup/Ura,0,30
26/03/2022,Geo,Sat/Nep,0,30
28/03/2022,Helio,Ven/Jup,36,10
02/04/2022,Geo,Jup/Nep,30,15
04/04/2022,Jup,Hs,,25
05/04/2022,Geo,Sun/Nep,135,10
08/04/2022,Geo,Mer/Nep,150,20
10/04/2022,Geo,Jup/Sat,36,15
11/04/2022,Geo,Sun/Jup,135,10
12/04/2022,Geo,Mer/Jup,150,20
24/04/2022,Geo,Mer/Sat,120,35
24/04/2022,Geo,Jup/Ura,7.5,10
25/04/2022,Geo,Ura/Plu,135,25
28/04/2022,Geo,Jup/Nep,36,15
28/04/2022,Helio,Ven/Sat,7.5,5
30/04/2022,Plu,R,,25
01/05/2022,Sun,SEcl,,25
05/05/2022,Geo,Jup/Jup,72,30
07/05/2022,Geo,Jup/Plu,90,30
11/05/2022,Jup,Ari,,25
13/05/2022,Helio,Jup/Ura,0,30
16/05/2022,Mon,LEcl,,25
22/05/2022,Geo,Ven/Ura,150,10
24/05/2022,Helio,Nep/Nep,30,15
26/05/2022,Geo,Sun/Jup,144,25
02/06/2022,Geo,Mar/Jup,135,10
03/06/2022,Geo,Jup/Ura,15,15
03/06/2022,Helio,Jup/Sat,22.5,10
05/06/2022,Helio,Jup/Nep,30,15
05/06/2022,Sat,R,,25
07/06/2022,Helio,Jup/Plu,0,30
10/06/2022,Helio,Ear/Jup,45,10
11/06/2022,Geo,Jup/Ura,120,30
21/06/2022,Geo,Jup/Nep,45,15
28/06/2022,Nep,R,,25
30/06/2022,Helio,Mar/Jup,120,25
05/07/2022,Helio,Ven/Jup,45,10
16/07/2022,Helio,Ura/Plu,135,25
17/07/2022,Helio,Jup/Jup,60,15
18/07/2022,Geo,Mer/Sat,120,35
23/07/2022,Helio,Sat/Ura,30,10
28/07/2022,Geo,Sat/Ura,120,25
29/07/2022,Jup,R,,25
31/07/2022,Helio,Ear/Nep,45,10
02/08/2022,Geo,Jup/Sat,36,15
03/08/2022,Helio,Jup/Ura,7.5,10
10/08/2022,Helio,Jup/Nep,36,15
20/08/2022,Geo,Sat/Nep,0,30
24/08/2022,Helio,Jup/Plu,90,30
24/08/2022,Ura,R,,25
05/09/2022,Geo,Jup/Nep,45,15
10/09/2022,Helio,Ear/Ura,7.5,5
16/09/2022,Helio,Ear/Jup,36,10
21/09/2022,Geo,Sat/Ura,120,25
24/09/2022,Geo,Mer/Nep,150,20
24/09/2022,Geo,Jup/Ura,15,15
24/09/2022,Geo,Mar/Jup,135,10
28/09/2022,Geo,Sun/Nep,135,10
29/09/2022,Helio,Sat/Nep,0,30
30/09/2022,Geo,Sat/Ura,30,10
01/10/2022,Geo,Mar/Sat,90,25
04/10/2022,Geo,Sun/Jup,144,25
09/10/2022,Plu,D,,25
18/10/2022,Geo,Sat/Sat,150,15
23/10/2022,Sat,D,,25
24/10/2022,Helio,Jup/Ura,15,15
25/10/2022,Sun,SEcl,,25
28/10/2022,Geo,Sat/Sat,150,15
08/11/2022,Geo,Jup/Plu,90,30
08/11/2022,Mon,LEcl,,25
12/11/2022,Geo,Jup/Ura,120,30
13/11/2022,Helio,Mer/Jup,150,20
14/11/2022,Geo,Mar/Sat,90,25
15/11/2022,Geo,Sat/Ura,30,10
16/11/2022,Helio,Jup/Nep,45,15
21/11/2022,Geo,Jup/Jup,72,30
21/11/2022,Helio,Ear/Jup,30,10
24/11/2022,Jup,D,,25
25/11/2022,Helio,Jup/Jup,72,30
26/11/2022,Geo,Jup/Jup,72,30
04/12/2022,Nep,D,,25
09/12/2022,Geo,Ven/Ura,150,10
09/12/2022,Geo,Jup/Plu,90,30
11/12/2022,Helio,Mar/Sat,90,25
11/12/2022,Helio,Mar/Jup,135,10
15/12/2022,Helio,Ven/Jup,60,10
20/12/2022,Jup,Ari,,25
22/12/2022,Geo,Sat/Nep,0,30
23/12/2022,Helio,Ven/Sat,15,10
05/01/2023,Geo,Jup/Sat,36,15
12/01/2023,Geo,Sun/Jup,144,25
14/01/2023,Geo,Mer/Sat,120,35
14/01/2023,Helio,Jup/Ura,22.5,10
15/01/2023,Helio,Ear/Sat,72,25
16/01/2023,Helio,Jup/Sat,150,15
18/01/2023,Helio,Mer/Jup,144,35
20/01/2023,Geo,Mar/Jup,135,10
20/01/2023,Geo,Jup/Ura,15,15
23/01/2023,Ura,D,,25
28/01/2023,Helio,Jup/Sat,30,15
03/02/2023,Geo,Jup/Nep,45,15
05/02/2023,Geo,Sun/Nep,135,10
07/02/2023,Geo,Sat/Ura,22.5,5
08/02/2023,Geo,Mer/Nep,150,20
10/02/2023,Helio,Ear/Jup,22.5,5
11/02/2023,Geo,Nep/Plu,22.5,10
14/02/2023,Geo,Sun/Jup,150,10
17/02/2023,Geo,Ven/Sat,72,25
18/02/2023,Geo,Plu/Plu,30,15
27/02/2023,Geo,Sat/Nep,7.5,10
27/02/2023,Geo,Jup/Ura,22.5,10
01/03/2023,Geo,Sat/Plu,60,15
06/03/2023,Geo,Mar/Jup,144,25
07/03/2023,Geo,Ven/Ura,150,10
18/03/2023,Geo,Ven/Jup,120,25
18/03/2023,Helio,Sat/Ura,22.5,5
19/03/2023,Helio,Mar/Jup,144,25
22/03/2023,Geo,Jup/Jup,90,30
23/03/2023,Geo,Jup/Sat,45,15
23/03/2023,Helio,Jup/Sat,144,30
23/03/2023,Plu,Aqu,,25
30/03/2023,Geo,Jup/Sat,150,15
31/03/2023,Geo,Mar/Jup,150,10
31/03/2023,Geo,Jup/Ura,30,15
01/04/2023,Geo,Jup/Ura,120,30
06/04/2023,Helio,Jup/Ura,30,15
11/04/2023,Geo,Jup/Nep,60,15
14/04/2023,Geo,Sat/Ura,15,10
20/04/2023,Geo,Mer/Jup,180,35
20/04/2023,Sun,SEcl,,25
24/04/2023,Geo,Jup/Sat,144,30
24/04/2023,Geo,Ura/Nep,7.5,20
25/04/2023,Geo,Jup/Ura,36,15
25/04/2023,Helio,Ven/Jup,72,25
26/04/2023,Helio,Mer/Jup,135,20
26/04/2023,Jup,Hs,,25
29/04/2023,Helio,Jup/Nep,60,15
02/05/2023,Plu,R,,25
03/05/2023,Helio,Ear/Jup,15,10
04/05/2023,Geo,Sat/Ura,120,25
06/05/2023,Mon,LEcl,,25
11/05/2023,Geo,Mar/Ura,180,25
11/05/2023,Geo,Ura/Ura,60,25
13/05/2023,Geo,Jup/Plu,120,30
18/05/2023,Geo,Sat/Nep,15,15
18/05/2023,Helio,Sat/Plu,60,15
20/05/2023,Geo,Ven/Jup,135,10
24/05/2023,Helio,Mar/Jup,150,10
24/05/2023,Helio,Sat/Nep,7.5,10
01/06/2023,Geo,Jup/Nep,72,30
02/06/2023,Geo,Jup/Sat,135,15
02/06/2023,Geo,Nep/Nep,36,15
03/06/2023,Helio,Mar/Nep,120,25
04/06/2023,Geo,Jup/Ura,45,15
10/06/2023,Helio,Jup/Jup,90,30
10/06/2023,Helio,Jup/Ura,36,15
11/06/2023,Plu,Cap,,25
14/06/2023,Helio,Sat/Plu,135,15
17/06/2023,Ura,Hs,,25
18/06/2023,Sat,R,,25
26/06/2023,Geo,Ura/Nep,90,40
28/06/2023,Geo,Sun/Jup,180,25
29/06/2023,Helio,Jup/Sat,135,15
01/07/2023,Nep,R,,25
04/07/2023,Geo,Ven/Jup,144,25
17/07/2023,Helio,Jup/Plu,120,30
18/07/2023,Geo,Sat/Nep,15,15
19/07/2023,Geo,Plu/Plu,30,15
24/07/2023,Helio,Ear/Jup,7.5,5
29/07/2023,Geo,Nep/Plu,22.5,10
30/07/2023,Geo,Nep/Nep,36,15
06/08/2023,Geo,Jup/Plu,135,15
06/08/2023,Helio,Jup/Sat,36,15
08/08/2023,Helio,Ven/Nep,45,10
17/08/2023,Helio,Ven/Sat,22.5,5
25/08/2023,Geo,Sat/Ura,15,10
29/08/2023,Ura,R,,25
04/09/2023,Jup,R,,25
07/09/2023,Helio,Jup/Nep,72,30
10/09/2023,Geo,Ura/Nep,7.5,20
17/09/2023,Helio,Jup/Ura,45,15
25/09/2023,Geo,Jup/Sat,45,15
03/10/2023,Geo,Jup/Plu,135,15
07/10/2023,Helio,Mer/Jup,120,35
11/10/2023,Plu,D,,25
15/10/2023,Helio,Ear/Jup,0,25
15/10/2023,Sun,SEcl,,25
29/10/2023,Mon,LEcl,,25
04/11/2023,Geo,Ura/Nep,90,40
04/11/2023,Sat,D,,25
09/11/2023,Geo,Ven/Jup,144,25
09/11/2023,Helio,Ven/Jup,90,25
09/11/2023,Helio,Sat/Ura,15,10
14/11/2023,Ura,Hs,,25
16/11/2023,Geo,Sun/Jup,180,25
25/11/2023,Helio,Ura/Ura,60,25
06/12/2023,Nep,D,,25
11/12/2023,Helio,Jup/Sat,120,30
13/12/2023,Geo,Jup/Sat,45,15
19/12/2023,Geo,Nep/Plu,22.5,10
27/12/2023,Geo,Plu/Plu,30,15
29/12/2023,Helio,Jup/Plu,135,15
31/12/2023,Jup,D,,25
05/01/2024,Helio,Ear/Jup,7.5,5
07/01/2024,Helio,Mer/Sat,180,35
09/01/2024,Geo,Sat/Ura,15,10
14/01/2024,Helio,Sat/Nep,15,15
21/01/2024,Plu,Aqu,,25
27/01/2024,Helio,Ear/Sat,60,10
27/01/2024,Ura,D,,25
01/02/2024,Geo,Sat/Nep,15,15
09/02/2024,Helio,Jup/Nep,60,15
13/02/2024,Geo,Sun/Jup,180,25
13/02/2024,Geo,Ven/Plu,45,10
20/02/2024,Geo,Sun/Sat,120,25
20/02/2024,Geo,Ven/Jup,144,25
21/02/2024,Geo,Mer/Sat,135,20
22/02/2024,Geo,Mar/Plu,72,25
24/02/2024,Geo,Ura/Nep,7.5,20
29/02/2024,Helio,Jup/Ura,60,15
11/03/2024,Geo,Sat/Plu,72,30
14/03/2024,Geo,Sat/Ura,7.5,5
17/03/2024,Geo,Jup/Plu,135,15
20/03/2024,Geo,Nep/Nep,36,15
24/03/2024,Geo,Ven/Jup,150,10
24/03/2024,Helio,Jup/Nep,90,30
25/03/2024,Mon,LEcl,,25
28/03/2024,Geo,Jup/Plu,15,15
28/03/2024,Helio,Ear/Jup,15,10
29/03/2024,Geo,Jup/Jup,120,30
04/04/2024,Geo,Sat/Nep,22.5,10
06/04/2024,Ura,Hs,,25
07/04/2024,Geo,Jup/Sat,120,30
07/04/2024,Helio,Ven/Sat,30,10
07/04/2024,Helio,Jup/Plu,144,30
08/04/2024,Geo,Mar/Jup,180,25
09/04/2024,Geo,Jup/Ura,60,15
09/04/2024,Sun,SEcl,,25
14/04/2024,Geo,Ura/Nep,90,40
18/04/2024,Helio,Mar/Jup,180,25
18/04/2024,Jup,Hs,,25
19/04/2024,Geo,Jup/Nep,90,30
21/04/2024,Geo,Ven/Sat,90,25
27/04/2024,Geo,Jup/Plu,144,30
27/04/2024,Geo,Jup/Nep,72,30
30/04/2024,Geo,Mer/Jup,150,20
03/05/2024,Geo,Jup/Sat,60,15
03/05/2024,Plu,R,,25
05/05/2024,Helio,Jup/Jup,120,30
11/05/2024,Geo,Nep/Plu,90,30
12/05/2024,Helio,Jup/Sat,45,15
15/05/2024,Geo,Ura/Plu,144,40
16/05/2024,Geo,Mer/Sat,144,35
22/05/2024,Geo,Jup/Plu,150,15
25/05/2024,Geo,Mer/Jup,144,35
26/05/2024,Geo,Mer/Ura,150,20
26/05/2024,Helio,Sat/Plu,72,30
26/05/2024,Jup,Gem,,25
29/05/2024,Geo,Sat/Sat,180,30
30/05/2024,Geo,Jup/Ura,72,30
30/05/2024,Helio,Plu/Plu,30,15
31/05/2024,Helio,Ura/Nep,90,40
03/06/2024,Geo,Jup/Jup,135,15
07/06/2024,Geo,Mar/Sat,120,25
08/06/2024,Geo,Sat/Ura,0,25
08/06/2024,Geo,Jup/Plu,15,15
13/06/2024,Helio,Jup/Plu,150,15
20/06/2024,Helio,Ear/Jup,22.5,5
28/06/2024,Helio,Sat/Ura,7.5,5
30/06/2024,Sat,R,,25
02/07/2024,Nep,R,,25
03/07/2024,Geo,Sun/Jup,150,10
04/07/2024,Geo,Mer/Jup,135,20
06/07/2024,Helio,Sat/Sat,180,30
07/07/2024,Helio,Ear/Ura,15,10
12/07/2024,Helio,Jup/Ura,72,30
12/07/2024,Helio,Nep/Plu,22.5,10
13/07/2024,Geo,Jup/Jup,144,30
18/07/2024,Geo,Mar/Plu,72,25
22/07/2024,Geo,Sat/Ura,0,25
23/07/2024,Geo,Mar/Sat,120,25
23/07/2024,Jup,Hs,,25
28/07/2024,Geo,Ven/Plu,45,10
01/08/2024,Geo,Sat/Sat,180,30
03/08/2024,Geo,Sun/Jup,144,25
09/08/2024,Geo,Ven/Jup,180,25
14/08/2024,Geo,Mer/Sat,144,35
15/08/2024,Geo,Jup/Jup,150,15
26/08/2024,Geo,Nep/Plu,90,30
28/08/2024,Geo,Jup/Sat,90,30
29/08/2024,Geo,Jup/Sat,60,15
01/09/2024,Geo,Mar/Jup,150,10
01/09/2024,Geo,Jup/Ura,90,30
01/09/2024,Ura,R,,25
02/09/2024,Helio,Sat/Nep,22.5,10
02/09/2024,Plu,Cap,,25
06/09/2024,Helio,Mer/Jup,90,35
10/09/2024,Geo,Jup/Nep,72,30
12/09/2024,Geo,Ven/Sat,90,25
13/09/2024,Helio,Ear/Jup,30,10
18/09/2024,Mon,LEcl,,25
23/09/2024,Helio,Ura/Plu,144,40
03/10/2024,Sun,SEcl,,25
07/10/2024,Geo,Sat/Nep,22.5,10
08/10/2024,Helio,Ven/Sat,36,10
09/10/2024,Helio,Ven/Jup,120,25
09/10/2024,Jup,R,,25
12/10/2024,Plu,D,,25
21/10/2024,Helio,Ura/Nep,7.5,20
22/10/2024,Helio,Jup/Jup,135,15
03/11/2024,Geo,Nep/Nep,36,15
11/11/2024,Helio,Jup/Sat,90,30
15/11/2024,Sat,D,,25
16/11/2024,Geo,Jup/Ura,90,30
17/11/2024,Geo,Mar/Jup,150,10
20/11/2024,Geo,Jup/Sat,90,30
20/11/2024,Helio,Ear/Jup,36,10
20/11/2024,Plu,Aqu,,25
04/12/2024,Geo,Jup/Jup,150,15
08/12/2024,Nep,D,,25
11/12/2024,Geo,Ven/Jup,180,25
19/12/2024,Geo,Sun/Jup,144,25
19/12/2024,Helio,Mar/Ura,180,25
21/12/2024,Geo,Ven/Plu,45,10
24/12/2024,Geo,Sat/Nep,22.5,10
24/12/2024,Geo,Mer/Ura,150,20
29/12/2024,Geo,Mar/Plu,72,25
06/01/2025,Jup,Hs,,25
11/01/2025,Geo,Nep/Nep,36,15
15/01/2025,Geo,Ven/Sat,90,25
24/01/2025,Geo,Jup/Plu,15,15
26/01/2025,Geo,Jup/Sat,60,15
31/01/2025,Helio,Nep/Nep,36,15
31/01/2025,Ura,D,,25
02/02/2025,Helio,Jup/Jup,144,30
03/02/2025,Helio,Jup/Ura,90,30
04/02/2025,Jup,D,,25
05/02/2025,Geo,Mer/Sat,144,35
11/02/2025,Geo,Sat/Sat,180,30
13/02/2025,Helio,Sat/Ura,0,25
15/02/2025,Geo,Mar/Sat,120,25
15/02/2025,Geo,Sat/Ura,0,25
27/02/2025,Geo,Jup/Nep,72,30
27/02/2025,Helio,Jup/Nep,120,30
04/03/2025,Helio,Ear/Jup,45,10
06/03/2025,Jup,Hs,,25
07/03/2025,Geo,Sat/Nep,30,15
08/03/2025,Geo,Mer/Ura,150,20
09/03/2025,Geo,Nep/Plu,90,30
11/03/2025,Sat,Hs,,25
14/03/2025,Mon,LEcl,,25
23/03/2025,Geo,Sun/Jup,144,25
26/03/2025,Geo,Sun/Sat,135,10
26/03/2025,Geo,Mer/Sat,150,20
26/03/2025,Helio,Mar/Jup,150,10
29/03/2025,Sun,SEcl,,25
30/03/2025,Geo,Ven/Jup,180,25
30/03/2025,Helio,Ven/Jup,135,10
30/03/2025,Nep,Ari,,25
31/03/2025,Helio,Mer/Jup,72,35
05/04/2025,Geo,Sat/Plu,135,15
06/04/2025,Geo,Jup/Jup,150,15
07/04/2025,Helio,Mer/Plu,144,35
13/04/2025,Helio,Jup/Jup,150,15
16/04/2025,Geo,Jup/Sat,90,30
18/04/2025,Geo,Sat/Ura,7.5,5
18/04/2025,Geo,Mar/Jup,150,10
18/04/2025,Helio,Sat/Nep,30,15
19/04/2025,Geo,Jup/Ura,90,30
27/04/2025,Geo,Sat/Nep,36,15
01/05/2025,Geo,Jup/Nep,120,30
01/05/2025,Helio,Ear/Sat,45,10
03/05/2025,Helio,Jup/Ura,120,30
04/05/2025,Plu,R,,25
11/05/2025,Geo,Jup/Sat,72,30
12/05/2025,Geo,Sun/Jup,135,10
13/05/2025,Geo,Mer/Jup,120,35
15/05/2025,Geo,Sat/Plu,90,30
18/05/2025,Geo,Mar/Jup,144,25
23/05/2025,Helio,Jup/Plu,180,30
25/05/2025,Sat,Ari,,25
04/06/2025,Geo,Sat/Plu,135,15
04/06/2025,Helio,Mar/Jup,144,25
06/06/2025,Geo,Jup/Plu,180,30
08/06/2025,Helio,Jup/Sat,72,30
10/06/2025,Jup,Can,,25
21/06/2025,Geo,Ura/Plu,150,25
26/06/2025,Helio,Mar/Sat,120,25
26/06/2025,Jup,Hs,,25
27/06/2025,Geo,Mar/Jup,135,10
04/07/2025,Geo,Mer/Ura,144,35
05/07/2025,Nep,R,,25
07/07/2025,Ura,Gem,,25
08/07/2025,Geo,Jup/Nep,135,15
08/07/2025,Helio,Ven/Sat,45,10
09/07/2025,Geo,Jup/Sat,72,30
13/07/2025,Sat,R,,25
14/07/2025,Helio,Ven/Jup,144,25
18/07/2025,Geo,Sun/Jup,120,25
05/08/2025,Geo,Ura/Ura,72,40
11/08/2025,Helio,Jup/Sat,60,15
19/08/2025,Geo,Jup/Nep,144,30
19/08/2025,Helio,Mer/Jup,60,20
21/08/2025,Geo,Ven/Jup,150,10
22/08/2025,Helio,Jup/Nep,135,15
26/08/2025,Geo,Jup/Jup,180,30
27/08/2025,Helio,Ear/Jup,60,10
30/08/2025,Geo,Jup/Plu,15,15
31/08/2025,Helio,Nep/Plu,90,30
05/09/2025,Geo,Jup/Sat,60,15
06/09/2025,Ura,R,,25
07/09/2025,Geo,Mar/Jup,120,25
08/09/2025,Geo,Jup/Ura,120,30
08/09/2025,Mon,LEcl,,25
12/09/2025,Geo,Sat/Plu,90,30
17/09/2025,Geo,Jup/Sat,72,30
18/09/2025,Helio,Mar/Jup,135,10
22/09/2025,Sun,SEcl,,25
23/09/2025,Geo,Jup/Nep,150,15
23/09/2025,Helio,Ven/Jup,150,10
25/09/2025,Geo,Ven/Jup,144,25
27/09/2025,Helio,Sat/Ura,7.5,5
05/10/2025,Geo,Sat/Nep,36,15
08/10/2025,Geo,Ura/Ura,72,40
14/10/2025,Geo,Mer/Jup,90,35
14/10/2025,Plu,D,,25
15/10/2025,Helio,Sat/Nep,36,15
18/10/2025,Geo,Sat/Ura,7.5,5
28/10/2025,Helio,Jup/Sat,60,15
12/11/2025,Geo,Mer/Ura,144,35
12/11/2025,Jup,R,,25
23/11/2025,Helio,Sat/Plu,90,30
26/11/2025,Geo,Jup/Plu,15,15
27/11/2025,Geo,Ura/Plu,150,25
28/11/2025,Sat,D,,25
08/12/2025,Helio,Jup/Nep,144,30
10/12/2025,Geo,Mer/Jup,90,35
10/12/2025,Nep,D,,25
29/12/2025,Geo,Ven/Jup,144,25
31/12/2025,Geo,Jup/Nep,150,15
07/01/2026,Geo,Sat/Ura,7.5,5
18/01/2026,Geo,Jup/Ura,120,30
18/01/2026,Helio,Ear/Jup,72,25
19/01/2026,Geo,Mar/Jup,120,25
19/01/2026,Geo,Sat/Nep,36,15
21/01/2026,Geo,Jup/Sat,60,15
23/01/2026,Helio,Jup/Ura,120,30
25/01/2026,Helio,Ear/Sat,36,10
27/01/2026,Nep,Ari,,25
29/01/2026,Geo,Sat/Plu,135,15
03/02/2026,Geo,Jup/Sat,72,30
04/02/2026,Ura,D,,25
06/02/2026,Geo,Jup/Jup,180,30
06/02/2026,Geo,Sat/Plu,90,30
09/02/2026,Helio,Ven/Plu,7.5,5
12/02/2026,Geo,Ura/Plu,45,25
14/02/2026,Sat,Ari,,25
15/02/2026,Helio,Mer/Jup,45,20
17/02/2026,Sun,SEcl,,25
18/02/2026,Helio,Jup/Nep,150,15
19/02/2026,Geo,Ven/Jup,150,10
24/02/2026,Geo,Jup/Nep,144,30
03/03/2026,Helio,Ura/Plu,150,25
03/03/2026,Mon,LEcl,,25
09/03/2026,Geo,Sun/Sat,144,25
11/03/2026,Jup,D,,25
18/03/2026,Helio,Mar/Jup,120,25
19/03/2026,Geo,Mar/Sat,135,10
20/03/2026,Geo,Sat/Ura,15,10
26/03/2026,Geo,Jup/Nep,144,30
31/03/2026,Geo,Plu/Plu,36,15
31/03/2026,Geo,Ven/Jup,150,10
06/04/2026,Helio,Jup/Jup,180,30
08/04/2026,Geo,Sat/Nep,45,15
10/04/2026,Geo,Ura/Plu,150,25
13/04/2026,Geo,Jup/Jup,180,30
15/04/2026,Geo,Sun/Nep,144,25
23/04/2026,Geo,Mer/Ura,144,35
26/04/2026,Ura,Gem,,25
27/04/2026,Geo,Sun/Sat,150,10
27/04/2026,Helio,Ear/Ura,22.5,5
28/04/2026,Helio,Jup/Sat,45,15
29/04/2026,Geo,Jup/Sat,60,15
01/05/2026,Geo,Mar/Jup,120,25
02/05/2026,Geo,Jup/Ura,120,30
06/05/2026,Plu,R,,25
07/05/2026,Helio,Sat/Ura,15,10
14/05/2026,Geo,Ura/Ura,72,40
17/05/2026,Geo,Jup/Nep,150,15
