Date,Type,Pair,Angle,Points
18/05/2026,Helio,Jup/Plu,150,15
19/05/2026,Geo,Ven/Jup,144,25
24/05/2026,Geo,Sat/Ura,22.5,5
27/05/2026,Geo,Jup/Ura,135,15
28/05/2026,Geo,Mar/Nep,135,10
31/05/2026,Geo,Ura/Nep,15,25
31/05/2026,Geo,Mer/Jup,90,35
06/06/2026,Helio,Mer/Jup,36,20
10/06/2026,Geo,Mar/Sat,144,25
13/06/2026,Geo,Plu/Plu,36,15
26/06/2026,Geo,Jup/Plu,150,15
02/07/2026,Helio,Mer/Sat,150,20
04/07/2026,Geo,Ven/Jup,135,10
07/07/2026,Nep,R,,25
09/07/2026,Helio,Sat/Nep,45,15
17/07/2026,Geo,Jup/Sat,45,15
19/07/2026,Geo,Jup/Ura,135,15
21/07/2026,Helio,Ear/Sat,30,10
24/07/2026,Geo,Jup/Plu,144,30
27/07/2026,Helio,Jup/Ura,135,15
27/07/2026,Sat,R,,25
01/08/2026,Helio,Jup/Plu,144,30
02/08/2026,Helio,Jup/Sat,72,30
07/08/2026,Geo,Ura/Plu,45,25
09/08/2026,Geo,Sun/Jup,90,25
13/08/2026,Sun,SEcl,,25
14/08/2026,Helio,Ear/Nep,36,10
15/08/2026,Geo,Ura/Nep,15,25
17/08/2026,Geo,Mar/Nep,135,10
17/08/2026,Helio,Jup/Sat,36,15
19/08/2026,Helio,Mer/Jup,30,20
23/08/2026,Geo,Mer/Jup,72,35
23/08/2026,Jup,Hs,,25
27/08/2026,Geo,Jup/Sat,36,15
27/08/2026,Geo,Sat/Plu,135,15
27/08/2026,Helio,Ear/Jup,90,25
28/08/2026,Mon,LEcl,,25
29/08/2026,Geo,Jup/Ura,144,30
03/09/2026,Geo,Jup/Plu,135,15
11/09/2026,Geo,Ven/Jup,120,25
11/09/2026,Ura,R,,25
12/09/2026,Geo,Mar/Sat,144,25
14/09/2026,Helio,Mar/Sat,135,10
16/09/2026,Geo,Jup/Jup,150,15
25/09/2026,Geo,Jup/Sat,30,15
25/09/2026,Helio,Ven/Jup,180,25
26/09/2026,Helio,Ven/Sat,60,10
28/09/2026,Geo,Mar/Jup,90,25
28/09/2026,Geo,Jup/Ura,150,15
01/10/2026,Geo,Sat/Ura,22.5,5
06/10/2026,Geo,Sun/Nep,144,25
12/10/2026,Geo,Jup/Nep,180,30
14/10/2026,Helio,Jup/Plu,7.5,10
15/10/2026,Helio,Ura/Ura,72,40
16/10/2026,Plu,D,,25
21/10/2026,Geo,Jup/Jup,144,30
28/10/2026,Geo,Mer/Jup,60,20
31/10/2026,Helio,Jup/Sat,30,15
11/11/2026,Geo,Sun/Sat,150,10
16/11/2026,Helio,Jup/Ura,144,30
19/11/2026,Geo,Jup/Sat,22.5,10
21/11/2026,Helio,Mer/Jup,22.5,15
21/11/2026,Helio,Jup/Plu,135,15
29/11/2026,Geo,Sun/Jup,72,25
03/12/2026,Geo,Sat/Plu,135,15
11/12/2026,Sat,D,,25
13/12/2026,Helio,Sat/Ura,22.5,5
13/12/2026,Jup,R,,25
13/12/2026,Nep,D,,25
20/12/2026,Helio,Sat/Sat,150,15
21/12/2026,Geo,Ura/Plu,45,25
24/12/2026,Helio,Mer/Sat,144,35
26/12/2026,Geo,Sun/Jup,72,25
06/01/2027,Geo,Jup/Sat,22.5,10
10/01/2027,Geo,Sun/Sat,150,10
22/01/2027,Geo,Jup/Ura,135,15
28/01/2027,Geo,Mer/Jup,60,20
28/01/2027,Geo,Plu/Plu,36,15
31/01/2027,Helio,Jup/Ura,150,15
03/02/2027,Helio,Jup/Sat,22.5,10
05/02/2027,Geo,Jup/Jup,144,30
06/02/2027,Sun,SEcl,,25
08/02/2027,Ura,D,,25
14/02/2027,Geo,Sat/Ura,22.5,5
15/02/2027,Geo,Sun/Nep,144,25
15/02/2027,Geo,Jup/Nep,180,30
21/02/2027,Mon,LEcl,,25
24/02/2027,Helio,Mer/Jup,15,20
25/02/2027,Geo,Jup/Ura,135,15
25/02/2027,Helio,Ear/Sat,22.5,5
27/02/2027,Helio,Jup/Nep,180,30
28/02/2027,Geo,Mar/Sat,144,25
07/03/2027,Geo,Jup/Ura,150,15
08/03/2027,Geo,Mar/Jup,90,25
11/03/2027,Geo,Jup/Sat,30,15
13/03/2027,Geo,Nep/Plu,15,15
22/03/2027,Geo,Mar/Nep,135,10
23/03/2027,Geo,Ven/Sat,120,25
24/03/2027,Geo,Ura/Nep,15,25
28/03/2027,Helio,Mar/Jup,90,25
01/04/2027,Geo,Jup/Sat,90,30
13/04/2027,Jup,D,,25
15/04/2027,Geo,Sat/Sat,150,15
17/04/2027,Helio,Jup/Jup,150,15
18/04/2027,Geo,Mar/Sat,150,10
18/04/2027,Geo,Sat/Ura,30,10
08/05/2027,Geo,Sat/Nep,60,15
08/05/2027,Plu,R,,25
10/05/2027,Helio,Jup/Sat,15,15
16/05/2027,Geo,Jup/Sat,30,15
20/05/2027,Geo,Mar/Jup,90,25
20/05/2027,Geo,Jup/Ura,150,15
30/05/2027,Geo,Mer/Sat,180,35
31/05/2027,Helio,Mer/Jup,7.5,15
01/06/2027,Helio,Jup/Plu,120,30
02/06/2027,Helio,Mar/Sat,144,25
07/06/2027,Geo,Sat/Sat,144,30
08/06/2027,Geo,Jup/Nep,180,30
11/06/2027,Geo,Sat/Ura,36,10
12/06/2027,Helio,Sat/Sat,144,30
13/06/2027,Geo,Nep/Nep,45,15
14/06/2027,Sat,Hs,,25
17/06/2027,Geo,Jup/Jup,144,30
23/06/2027,Geo,Mer/Jup,60,20
03/07/2027,Helio,Jup/Jup,144,30
06/07/2027,Geo,Jup/Sat,22.5,10
07/07/2027,Geo,Nep/Plu,15,15
09/07/2027,Geo,Sun/Jup,72,25
10/07/2027,Nep,R,,25
18/07/2027,Helio,Sat/Ura,30,10
18/07/2027,Mon,LEcl,,25
22/07/2027,Geo,Jup/Plu,120,30
22/07/2027,Geo,Sun/Ura,150,25
25/07/2027,Geo,Mer/Ura,135,20
26/07/2027,Jup,Vir,,25
02/08/2027,Sun,SEcl,,25
04/08/2027,Geo,Jup/Jup,135,15
06/08/2027,Geo,Nep/Nep,45,15
10/08/2027,Sat,R,,25
12/08/2027,Geo,Jup/Sat,15,15
15/08/2027,Helio,Jup/Sat,7.5,10
17/08/2027,Mon,LEcl,,25
28/08/2027,Geo,Mar/Jup,72,25
02/09/2027,Geo,Plu/Plu,36,15
05/09/2027,Geo,Sun/Jup,60,10
05/09/2027,Geo,Mer/Jup,45,20
05/09/2027,Helio,Mer/Jup,0,35
08/09/2027,Helio,Ven/Sat,72,25
10/09/2027,Helio,Mer/Sat,135,20
14/09/2027,Helio,Ear/Jup,120,25
15/09/2027,Ura,R,,25
16/09/2027,Geo,Jup/Sat,7.5,10
17/09/2027,Helio,Sat/Nep,60,15
20/09/2027,Helio,Ura/Plu,45,25
28/09/2027,Helio,Ear/Sat,15,10
07/10/2027,Sat,Hs,,25
08/10/2027,Geo,Ven/Jup,90,25
10/10/2027,Geo,Sat/Ura,36,10
13/10/2027,Geo,Jup/Jup,120,30
13/10/2027,Helio,Ven/Jup,150,10
15/10/2027,Geo,Sat/Sat,144,30
18/10/2027,Plu,D,,25
19/10/2027,Geo,Mer/Jup,36,20
23/10/2027,Geo,Jup/Sat,0,30
25/10/2027,Geo,Mar/Jup,60,10
25/10/2027,Geo,Jup/Ura,180,30
25/10/2027,Geo,Mer/Sat,180,35
28/10/2027,Helio,Jup/Jup,135,15
08/11/2027,Geo,Jup/Nep,150,15
08/11/2027,Geo,Mer/Ura,135,20
11/11/2027,Geo,Sun/Ura,150,25
11/11/2027,Jup,Hs,,25
16/11/2027,Helio,Mar/Jup,72,25
20/11/2027,Geo,Ura/Nep,15,25
20/11/2027,Helio,Jup/Sat,0,30
21/11/2027,Helio,Mar/Sat,150,10
23/11/2027,Geo,Sun/Jup,45,10
23/11/2027,Geo,Mar/Nep,135,10
23/11/2027,Geo,Mer/Jup,30,20
01/12/2027,Geo,Plu/Plu,36,15
02/12/2027,Geo,Sat/Nep,60,15
12/12/2027,Helio,Mer/Jup,7.5,15
13/12/2027,Geo,Jup/Sat,7.5,10
13/12/2027,Helio,Mer/Ura,90,35
15/12/2027,Nep,D,,25
21/12/2027,Helio,Plu/Plu,36,15
24/12/2027,Sat,D,,25
30/12/2027,Helio,Ven/Jup,144,25
04/01/2028,Helio,Jup/Sat,90,30
05/01/2028,Helio,Sat/Ura,36,10
06/01/2028,Geo,Mar/Nep,135,10
07/01/2028,Geo,Jup/Nep,144,30
09/01/2028,Geo,Ura/Nep,15,25
12/01/2028,Jup,R,,25
12/01/2028,Mon,LEcl,,25
15/01/2028,Geo,Sat/Nep,60,15
17/01/2028,Geo,Jup/Nep,144,30
17/01/2028,Geo,Nep/Plu,15,15
26/01/2028,Sun,SEcl,,25
08/02/2028,Helio,Ear/Ura,30,10
11/02/2028,Geo,Jup/Sat,7.5,10
13/02/2028,Ura,D,,25
19/02/2028,Geo,Mer/Sat,180,35
23/02/2028,Helio,Jup/Ura,180,30
24/02/2028,Helio,Sat/Sat,135,15
26/02/2028,Helio,Jup/Sat,7.5,10
27/02/2028,Geo,Sat/Sat,144,30
02/03/2028,Geo,Sat/Ura,36,10
03/03/2028,Geo,Mer/Jup,30,20
04/03/2028,Geo,Sun/Jup,45,10
04/03/2028,Helio,Ura/Nep,15,25
04/03/2028,Sat,Hs,,25
17/03/2028,Jup,Hs,,25
19/03/2028,Helio,Mer/Jup,15,20
21/03/2028,Geo,Jup/Nep,150,15
22/03/2028,Helio,Jup/Nep,150,15
28/03/2028,Helio,Ear/Jup,135,10
30/03/2028,Geo,Nep/Nep,45,15
07/04/2028,Geo,Sat/Plu,120,30
11/04/2028,Helio,Sat/Plu,120,30
12/04/2028,Geo,Jup/Ura,180,30
12/04/2028,Geo,Mar/Jup,60,10
17/04/2028,Geo,Jup/Sat,0,30
19/04/2028,Geo,Sun/Plu,90,25
19/04/2028,Geo,Ven/Sat,135,10
21/04/2028,Helio,Mar/Jup,60,10
26/04/2028,Helio,Ven/Jup,135,10
28/04/2028,Helio,Ear/Sat,7.5,5
30/04/2028,Geo,Mer/Jup,36,20
08/05/2028,Geo,Sun/Ura,150,25
09/05/2028,Plu,R,,25
10/05/2028,Geo,Mer/Ura,135,20
10/05/2028,Geo,Sat/Nep,72,30
11/05/2028,Helio,Jup/Jup,120,30
12/05/2028,Geo,Sat/Sat,135,15
14/05/2028,Jup,D,,25
15/05/2028,Geo,Sat/Ura,45,10
28/05/2028,Geo,Mer/Jup,36,20
30/05/2028,Geo,Sun/Plu,90,25
04/06/2028,Helio,Jup/Sat,15,15
09/06/2028,Helio,Jup/Nep,144,30
10/06/2028,Geo,Jup/Sat,0,30
13/06/2028,Geo,Jup/Ura,144,30
14/06/2028,Geo,Mar/Jup,60,10
15/06/2028,Geo,Jup/Ura,180,30
16/06/2028,Geo,Sun/Nep,150,10
26/06/2028,Helio,Mer/Jup,22.5,15
26/06/2028,Helio,Jup/Plu,90,30
28/06/2028,Geo,Sun/Sat,180,25
06/07/2028,Geo,Jup/Nep,150,15
07/07/2028,Mon,LEcl,,25
09/07/2028,Jup,Hs,,25
11/07/2028,Geo,Ven/Sat,144,25
11/07/2028,Nep,R,,25
18/07/2028,Ura,Hs,,25
21/07/2028,Geo,Sun/Jup,45,10
22/07/2028,Geo,Mer/Jup,30,20
22/07/2028,Sun,SEcl,,25
24/07/2028,Helio,Ear/Jup,144,25
30/07/2028,Helio,Mar/Plu,72,25
04/08/2028,Geo,Jup/Sat,7.5,10
06/08/2028,Geo,Sun/Nep,150,10
11/08/2028,Geo,Jup/Nep,144,30
20/08/2028,Geo,Jup/Plu,90,30
21/08/2028,Helio,Sat/Nep,72,30
22/08/2028,Helio,Ven/Ura,120,25
23/08/2028,Sat,R,,25
31/08/2028,Geo,Mer/Jup,22.5,15
06/09/2028,Geo,Sun/Jup,36,10
10/09/2028,Geo,Jup/Sat,15,15
11/09/2028,Geo,Ven/Jup,72,25
11/09/2028,Helio,Jup/Sat,22.5,10
12/09/2028,Geo,Mar/Jup,45,10
15/09/2028,Helio,Sat/Ura,45,10
19/09/2028,Ura,R,,25
24/09/2028,Geo,Jup/Nep,135,15
03/10/2028,Geo,Nep/Plu,15,15
03/10/2028,Helio,Mer/Jup,30,20
04/10/2028,Geo,Sun/Jup,30,10
05/10/2028,Geo,Mer/Jup,15,20
05/10/2028,Geo,Ven/Sat,144,25
06/10/2028,Helio,Jup/Nep,135,15
11/10/2028,Helio,Ear/Jup,150,10
12/10/2028,Helio,Sat/Plu,144,30
15/10/2028,Geo,Jup/Sat,22.5,10
19/10/2028,Geo,Sun/Sat,180,25
19/10/2028,Plu,D,,25
24/10/2028,Geo,Mar/Jup,36,10
04/11/2028,Geo,Nep/Plu,15,15
05/11/2028,Helio,Mar/Jup,45,10
06/11/2028,Geo,Ven/Jup,60,10
07/11/2028,Helio,Mer/Sat,120,35
09/11/2028,Geo,Sun/Jup,22.5,5
09/11/2028,Geo,Mer/Jup,7.5,15
10/11/2028,Geo,Nep/Nep,45,15
10/11/2028,Helio,Ven/Jup,120,25
12/11/2028,Geo,Jup/Jup,90,30
12/11/2028,Helio,Mer/Plu,150,20
14/11/2028,Geo,Jup/Plu,72,30
21/11/2028,Geo,Jup/Sat,30,15
22/11/2028,Ura,Hs,,25
23/11/2028,Geo,Mar/Jup,30,10
23/11/2028,Geo,Jup/Ura,150,15
25/11/2028,Helio,Ear/Sat,0,25
28/11/2028,Helio,Jup/Ura,135,15
07/12/2028,Geo,Jup/Nep,120,30
17/12/2028,Nep,D,,25
19/12/2028,Helio,Jup/Sat,30,15
21/12/2028,Helio,Mer/Jup,36,20
22/12/2028,Geo,Sun/Jup,15,10
23/12/2028,Geo,Mer/Jup,0,35
29/12/2028,Geo,Jup/Sat,36,15
01/01/2029,Geo,Jup/Ura,144,30
01/01/2029,Mon,LEcl,,25
04/01/2029,Jup,Hs,,25
05/01/2029,Helio,Nep/Plu,15,15
05/01/2029,Sat,D,,25
06/01/2029,Helio,Mer/Nep,150,20
09/01/2029,Geo,Jup/Ura,144,30
15/01/2029,Sun,SEcl,,25
17/01/2029,Geo,Mar/Jup,22.5,5
22/01/2029,Geo,Nep/Nep,45,15
27/01/2029,Helio,Ven/Sat,90,25
07/02/2029,Geo,Sun/Plu,90,25
10/02/2029,Jup,R,,25
15/02/2029,Helio,Nep/Nep,45,15
16/02/2029,Ura,D,,25
19/02/2029,Helio,Jup/Plu,72,30
27/02/2029,Geo,Jup/Plu,22.5,10
04/03/2029,Helio,Mar/Jup,36,10
07/03/2029,Geo,Mar/Jup,22.5,5
09/03/2029,Helio,Jup/Sat,36,15
18/03/2029,Geo,Sun/Sat,180,25
20/03/2029,Jup,Hs,,25
23/03/2029,Geo,Jup/Ura,144,30
25/03/2029,Helio,Jup/Ura,150,15
26/03/2029,Geo,Jup/Ura,144,30
26/03/2029,Geo,Jup/Sat,36,15
27/03/2029,Geo,Ven/Sat,144,25
02/04/2029,Geo,Mer/Jup,0,35
02/04/2029,Geo,Sun/Nep,150,10
03/04/2029,Geo,Sun/Jup,15,10
08/04/2029,Helio,Ear/Plu,90,25
19/04/2029,Helio,Sat/Sat,120,30
19/04/2029,Helio,Mer/Jup,45,20
20/04/2029,Geo,Jup/Nep,120,30
22/04/2029,Helio,Jup/Nep,120,30
24/04/2029,Helio,Ear/Nep,30,10
01/05/2029,Helio,Sat/Ura,90,25
02/05/2029,Geo,Sat/Plu,135,15
07/05/2029,Ura,Hs,,25
11/05/2029,Plu,R,,25
12/05/2029,Geo,Jup/Ura,150,15
13/05/2029,Geo,Mar/Jup,30,10
14/05/2029,Geo,Ven/Sat,150,10
17/05/2029,Geo,Jup/Sat,30,15
23/05/2029,Geo,Jup/Sat,120,30
23/05/2029,Helio,Mar/Jup,30,10
04/06/2029,Helio,Sat/Plu,135,15
06/06/2029,Geo,Sat/Sat,120,30
09/06/2029,Geo,Mar/Sat,180,25
10/06/2029,Geo,Sat/Ura,60,10
11/06/2029,Geo,Sun/Ura,144,40
12/06/2029,Helio,Jup/Jup,90,30
12/06/2029,Helio,Jup/Ura,144,30
12/06/2029,Sun,SEcl,,25
14/06/2029,Jup,D,,25
21/06/2029,Helio,Ear/Sat,7.5,5
26/06/2029,Mon,LEcl,,25
28/06/2029,Sat,Hs,,25
29/06/2029,Geo,Ven/Ura,180,25
30/06/2029,Helio,Jup/Nep,72,30
02/07/2029,Geo,Sat/Nep,90,30
05/07/2029,Helio,Jup/Sat,45,15
08/07/2029,Helio,Ear/Ura,36,10
11/07/2029,Geo,Jup/Sat,30,15
11/07/2029,Sun,SEcl,,25
14/07/2029,Nep,R,,25
16/07/2029,Geo,Mar/Jup,30,10
16/07/2029,Geo,Jup/Ura,150,15
19/07/2029,Geo,Jup/Ura,150,15
22/07/2029,Geo,Sat/Plu,144,30
28/07/2029,Helio,Jup/Plu,60,15
29/07/2029,Geo,Jup/Plu,22.5,10
31/07/2029,Geo,Mer/Sat,150,20
06/08/2029,Geo,Jup/Nep,120,30
21/08/2029,Geo,Sun/Jup,15,10
22/08/2029,Geo,Mer/Jup,0,35
24/08/2029,Geo,Sun/Plu,90,25
27/08/2029,Geo,Jup/Sat,36,15
29/08/2029,Geo,Jup/Ura,144,30
29/08/2029,Helio,Mar/Jup,22.5,5
30/08/2029,Jup,Hs,,25
06/09/2029,Geo,Mar/Jup,22.5,5
06/09/2029,Sat,R,,25
20/09/2029,Geo,Jup/Plu,60,15
24/09/2029,Ura,R,,25
28/09/2029,Geo,Ven/Jup,45,10
30/09/2029,Geo,Sun/Jup,7.5,5
01/10/2029,Geo,Mer/Jup,7.5,15
09/10/2029,Helio,Jup/Ura,135,15
11/10/2029,Geo,Jup/Sat,45,15
13/10/2029,Geo,Mar/Jup,15,10
13/10/2029,Geo,Jup/Ura,135,15
13/10/2029,Geo,Mer/Sat,150,20
17/10/2029,Geo,Jup/Jup,72,30
21/10/2029,Plu,D,,25
23/10/2029,Geo,Sat/Plu,144,30
03/11/2029,Helio,Mer/Jup,60,20
04/11/2029,Geo,Sun/Jup,0,25
04/11/2029,Geo,Mer/Jup,15,20
04/11/2029,Helio,Sat/Ura,60,10
09/11/2029,Geo,Ven/Jup,36,10
11/11/2029,Geo,Sun/Nep,150,10
11/11/2029,Helio,Ear/Jup,180,25
14/11/2029,Geo,Sat/Nep,90,30
17/11/2029,Geo,Mar/Jup,7.5,5
19/11/2029,Sat,Hs,,25
29/11/2029,Geo,Jup/Plu,45,15
01/12/2029,Geo,Jup/Ura,150,15
05/12/2029,Sun,SEcl,,25
06/12/2029,Helio,Mar/Jup,15,10
07/12/2029,Geo,Ven/Jup,30,10
09/12/2029,Geo,Sun/Jup,7.5,5
10/12/2029,Geo,Mer/Jup,22.5,15
11/12/2029,Helio,Ven/Jup,90,25
12/12/2029,Geo,Jup/Jup,60,15
15/12/2029,Geo,Sun/Plu,90,25
18/12/2029,Geo,Sat/Ura,60,10
18/12/2029,Geo,Mar/Sat,180,25
19/12/2029,Nep,D,,25
21/12/2029,Geo,Jup/Sat,60,15
21/12/2029,Mon,LEcl,,25
23/12/2029,Geo,Mar/Jup,0,25
23/12/2029,Geo,Jup/Ura,120,30
26/12/2029,Geo,Sat/Sat,120,30
27/12/2029,Geo,Ven/Ura,180,25
02/01/2030,Helio,Sat/Nep,90,30
04/01/2030,Jup,Hs,,25
06/01/2030,Geo,Jup/Plu,22.5,10
06/01/2030,Geo,Jup/Nep,90,30
13/01/2030,Helio,Ear/Sat,15,10
17/01/2030,Geo,Jup/Plu,36,15
17/01/2030,Geo,Ven/Jup,22.5,5
18/01/2030,Helio,Jup/Sat,60,15
19/01/2030,Sat,D,,25
21/01/2030,Geo,Sun/Jup,15,10
21/01/2030,Geo,Mer/Jup,30,20
26/01/2030,Geo,Sun/Nep,150,10
29/01/2030,Geo,Sun/Ura,144,40
03/02/2030,Helio,Jup/Jup,72,30
06/02/2030,Helio,Sat/Plu,144,30
09/02/2030,Helio,Jup/Plu,45,15
12/02/2030,Geo,Sat/Sat,120,30
14/02/2030,Geo,Mar/Jup,7.5,5
19/02/2030,Geo,Mar/Sat,180,25
20/02/2030,Geo,Sat/Ura,60,10
21/02/2030,Ura,D,,25
25/02/2030,Helio,Mar/Nep,135,10
05/03/2030,Helio,Mar/Sat,180,25
13/03/2030,Jup,R,,25
14/03/2030,Helio,Mar/Jup,7.5,5
15/03/2030,Geo,Sun/Ura,144,40
18/03/2030,Sat,Hs,,25
23/03/2030,Geo,Sat/Nep,90,30
08/04/2030,Geo,Sat/Plu,144,30
08/04/2030,Helio,Mer/Jup,72,35
09/04/2030,Plu,Hs,,25
10/04/2030,Geo,Mar/Jup,7.5,5
13/04/2030,Geo,Mer/Sat,150,20
16/04/2030,Geo,Ven/Ura,180,25
16/04/2030,Helio,Jup/Sat,120,30
20/04/2030,Geo,Ura/Nep,22.5,20
23/04/2030,Helio,Jup/Ura,120,30
02/05/2030,Helio,Ven/Nep,60,10
05/05/2030,Geo,Mer/Jup,30,20
06/05/2030,Geo,Sun/Jup,15,10
08/05/2030,Geo,Jup/Ura,150,15
10/05/2030,Geo,Ven/Jup,22.5,5
10/05/2030,Geo,Jup/Plu,36,15
13/05/2030,Plu,R,,25
20/05/2030,Helio,Jup/Nep,90,30
24/05/2030,Geo,Jup/Nep,90,30
26/05/2030,Geo,Sat/Plu,150,15
27/05/2030,Jup,Hs,,25
31/05/2030,Geo,Mer/Sat,144,35
01/06/2030,Sat,Gem,,25
01/06/2030,Sun,SEcl,,25
06/06/2030,Helio,Jup/Plu,36,15
08/06/2030,Geo,Mar/Nep,144,25
08/06/2030,Geo,Sat/Ura,90,25
09/06/2030,Geo,Sat/Ura,72,25
15/06/2030,Geo,Mar/Ura,150,10
15/06/2030,Geo,Jup/Sat,135,15
16/06/2030,Geo,Jup/Ura,120,30
16/06/2030,Geo,Ura/Ura,90,40
16/06/2030,Geo,Mar/Jup,0,25
16/06/2030,Mon,LEcl,,25
16/06/2030,Plu,Hs,,25
19/06/2030,Helio,Mar/Jup,0,25
21/06/2030,Geo,Jup/Sat,60,15
23/06/2030,Helio,Jup/Sat,72,30
09/07/2030,Helio,Jup/Jup,60,15
15/07/2030,Jup,D,,25
17/07/2030,Nep,R,,25
19/07/2030,Helio,Sat/Plu,150,15
31/07/2030,Geo,Ura/Nep,120,40
02/08/2030,Helio,Ven/Jup,72,25
05/08/2030,Helio,Ear/Sat,22.5,5
08/08/2030,Geo,Jup/Sat,60,15
13/08/2030,Geo,Mar/Jup,0,25
13/08/2030,Geo,Jup/Ura,120,30
22/08/2030,Helio,Jup/Plu,30,15
25/08/2030,Geo,Mar/Nep,144,25
01/09/2030,Jup,Hs,,25
04/09/2030,Geo,Jup/Nep,90,30
05/09/2030,Geo,Sun/Sat,150,10
07/09/2030,Helio,Ven/Plu,0,25
10/09/2030,Geo,Mer/Sat,135,20
16/09/2030,Geo,Jup/Plu,36,15
16/09/2030,Geo,Ven/Jup,22.5,5
19/09/2030,Geo,Sun/Jup,15,10
20/09/2030,Geo,Mer/Jup,30,20
21/09/2030,Sat,R,,25
23/09/2030,Helio,Mar/Jup,7.5,5
28/09/2030,Helio,Sat/Ura,72,25
28/09/2030,Ura,R,,25